,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
53,hvac technician,10.0,GA,MORTGAGE,10000,36,6.07
54,nurse assistant,5.0,NC,MORTGAGE,12000,36,6.07
55,,,FL,OWN,1925,36,17.47
56,driver,8.0,NJ,MORTGAGE,15000,36,7.34
57,gourmet food server,10.0,NV,MORTGAGE,20000,36,13.59
58,,,NV,MORTGAGE,6000,36,6.72
59,program manager,10.0,CO,RENT,10000,36,5.31
60,deputy assessor ,8.0,WV,MORTGAGE,25000,36,9.93
61,service tech,10.0,MD,OWN,10000,36,9.92
62,senior technically writer,1.0,VA,RENT,6000,36,9.93
63,rn,10.0,VA,MORTGAGE,20000,60,14.07
64,escrow manager,10.0,CA,MORTGAGE,15000,36,7.97
65,quality control,0.0,PA,MORTGAGE,20000,36,5.31
66,medical billing account rep,10.0,FL,MORTGAGE,10500,60,9.93
67,truck driver,5.0,IL,MORTGAGE,11400,60,14.08
68,general manager,5.0,NH,MORTGAGE,5500,36,12.61
69,bartender,0.0,UT,RENT,5000,36,12.62
70,,,DE,OWN,9600,36,17.47
71,interpreter/translator/school enrolment ,0.0,MA,RENT,15000,36,12.62
72,accounts receivable manager,3.0,NJ,RENT,10000,36,6.71
73,asst to the director of theatre,3.0,KY,RENT,10450,60,19.42
74,rn,2.0,NC,MORTGAGE,7200,36,12.62
75,warehouse,10.0,FL,MORTGAGE,35000,60,14.08
76,,,OR,RENT,4200,36,10.91
77,operations manager,0.0,OH,RENT,2400,36,17.47
78,administrative assistant,9.0,TX,MORTGAGE,12800,36,18.06
79,composite tehnician,4.0,CA,MORTGAGE,8000,36,16.02
80,pta,0.0,OK,MORTGAGE,30000,36,19.03
81,service director,1.0,PA,MORTGAGE,7000,36,12.62
82,it support,8.0,TX,MORTGAGE,25000,36,6.07
83,senior accounts payable clerk,10.0,FL,MORTGAGE,40000,60,9.43
84,master driver,10.0,VA,MORTGAGE,24000,60,10.42
85,teacher,10.0,SD,OWN,5000,36,7.96
86,physician assistant,10.0,MO,MORTGAGE,40000,60,13.59
87,credit analyst,2.0,IL,MORTGAGE,15000,60,15.04
88,rca,5.0,TX,OWN,5000,36,12.61
89,cabinet maker/installer,8.0,FL,RENT,7000,36,7.96
90,benefits representative,2.0,AZ,RENT,17450,60,13.58
91,mechanic,10.0,NY,MORTGAGE,30000,60,16.01
92,superintendent -customer operations,10.0,NJ,OWN,15000,36,22.91
93,teller,5.0,IL,RENT,20000,36,7.97
94,,,MN,RENT,15000,60,18.06
95,territory manager,3.0,TX,MORTGAGE,12000,36,6.08
96,sr engineer,10.0,CO,RENT,16500,36,5.32
97,office manager,10.0,MA,MORTGAGE,19200,36,5.32
98,petroleum operator ,10.0,NJ,MORTGAGE,7050,36,9.93
99,owner,10.0,MN,MORTGAGE,15000,60,20.0
100,project manager,10.0,NY,OWN,11200,36,15.05
101,driver/crane opeator,5.0,IL,RENT,8000,36,7.96
102,audit manager,0.0,TX,MORTGAGE,20000,60,26.77
103,cfo,4.0,TN,MORTGAGE,10800,60,9.44
104,qa auditor,10.0,NH,MORTGAGE,7200,36,13.59
105,line cook,1.0,SC,RENT,12000,36,15.04
106,supervisor of technical trades,2.0,NY,MORTGAGE,20000,36,5.31
107,crew chief ,2.0,FL,MORTGAGE,7200,36,14.08
108,owner,2.0,TX,RENT,6000,36,13.59
109,bus operator ,10.0,TX,RENT,5000,36,7.97
110,web developer,2.0,FL,RENT,16000,60,9.93
111,educator,10.0,AL,MORTGAGE,15600,36,6.08
112,,,WY,RENT,10000,60,21.85
113,construction manager ,5.0,CA,RENT,10000,36,10.42
114,education specialist,0.0,PA,MORTGAGE,30000,36,17.47
115,ceo,4.0,CA,RENT,30000,36,10.9
116,account administrator,10.0,CO,MORTGAGE,16000,36,6.08
117,driver,10.0,NY,RENT,20000,36,12.61
118,,,MO,MORTGAGE,6275,36,23.87
119,manager,4.0,FL,OWN,15000,36,18.06
120,school administrator,10.0,MO,MORTGAGE,16000,60,13.59
121,qc lead,4.0,CA,MORTGAGE,10000,36,16.02
122,planning supervisor ,10.0,NY,MORTGAGE,25000,36,9.93
123,pipefitter,1.0,MA,RENT,12000,36,9.92
124,owner,3.0,TN,RENT,6000,36,7.35
125,senior engagement lead,10.0,NJ,OWN,12000,36,10.91
126,attorney,4.0,LA,MORTGAGE,10000,60,13.59
127,bank teller,0.0,OH,MORTGAGE,20000,36,14.07
128,field service engineer ,1.0,MA,RENT,8500,36,7.34
129,automotive service lane manager,10.0,WV,OWN,36000,60,15.05
130,military officer captain,10.0,GA,RENT,40000,36,6.72
131,cpa,4.0,CA,MORTGAGE,9000,36,16.01
132,home equity specialist ,10.0,PA,RENT,7200,36,7.34
133,general manager,3.0,WI,RENT,6100,36,23.88
134,,,TX,OWN,2250,36,15.05
135,accounting supervisor,10.0,IN,OWN,10000,36,6.72
136,video management,1.0,CA,OWN,25000,36,21.45
137,claims adjudicator,10.0,OH,MORTGAGE,16000,60,25.82
138,head of product design,2.0,CA,RENT,32000,60,14.08
139,project manager,3.0,CA,RENT,12000,36,15.05
140,sales,10.0,MI,RENT,10000,36,9.44
141,import booking and pricing rep,2.0,NY,MORTGAGE,2200,36,17.09
142,receptionist,1.0,IL,RENT,4800,36,16.01
143,business analysis/csu manager,10.0,GA,MORTGAGE,35000,60,10.9
144,supervisor,5.0,KS,RENT,35000,36,12.62
145,,,NY,OWN,10000,60,21.45
146,clerk,10.0,NY,MORTGAGE,2400,36,10.41
147,formulation scientist,2.0,OH,RENT,19600,36,5.32
148,documentation supervisor,3.0,MA,MORTGAGE,26000,60,21.85
149,director of operations,6.0,MD,MORTGAGE,12000,60,18.06
150,supply chain manager,0.0,AR,RENT,13000,36,5.32
151,executive assistant,3.0,NY,RENT,11750,60,17.09
152,shop foreman,10.0,NY,MORTGAGE,30000,60,9.93
153,research technician,6.0,MS,RENT,7000,36,6.08
154,,,AZ,RENT,20000,60,17.09
155,senior data engineer,4.0,VA,RENT,35000,36,16.01
156,mechanic/owner,10.0,IL,MORTGAGE,10000,60,13.59
157,,,TN,OWN,20000,36,9.92
158,commercial insurance broker,5.0,CA,MORTGAGE,40000,60,15.04
159,field operations supervisor,2.0,IL,MORTGAGE,12000,36,6.71
160,server,0.0,OR,RENT,16000,36,17.47
161,hvac mechanic,7.0,FL,MORTGAGE,10000,36,11.99
162,engineer assistant ,0.0,CA,RENT,10000,36,13.59
163,senior quality analyst,9.0,IN,MORTGAGE,15000,36,7.35
164,production,10.0,MN,MORTGAGE,24000,60,10.42
165,it director,10.0,CA,MORTGAGE,40000,36,7.97
166,,,TX,MORTGAGE,25000,60,9.92
167,sales manager,4.0,NC,MORTGAGE,32175,36,12.61
168,owner,4.0,MS,MORTGAGE,25000,60,9.93
169,journeyman union plumber,2.0,NY,RENT,24000,60,14.07
170,service technician ,5.0,TX,OWN,15000,60,14.08
171,executive director,1.0,NY,MORTGAGE,36000,60,12.62
172,management,10.0,OR,RENT,20000,60,16.02
173,sales,10.0,TX,MORTGAGE,30000,60,14.07
174,customs specialist,0.0,NY,MORTGAGE,11000,36,18.06
175,personal banker,2.0,CA,RENT,15000,60,14.08
176,assistant controller ,2.0,GA,RENT,13500,60,16.02
177,physical therapist assistant ,3.0,AL,MORTGAGE,10000,60,11.99
178,office manager/ bookkeeper,10.0,FL,OWN,25000,36,6.72
179,pilot,10.0,MI,MORTGAGE,25000,60,19.03
180,service technician ,7.0,CO,OWN,28000,36,6.71
181,physician extender ,2.0,SC,RENT,10000,36,6.07
182,yard specialist,3.0,NC,MORTGAGE,10000,36,7.35
183,,,NC,RENT,10000,36,13.59
184,bartender,0.0,WA,RENT,2500,36,13.59
185,lease operator,0.0,LA,OWN,6500,36,5.31
186,dean of humanities and the arts,9.0,NE,RENT,10000,36,7.97
187,rn,10.0,CO,MORTGAGE,14500,36,7.35
188,instructor,6.0,CA,RENT,40000,36,11.99
189,manager,5.0,FL,RENT,16000,36,16.02
190,sales,10.0,CA,RENT,14000,36,9.93
191,finance manager,1.0,FL,RENT,10000,36,19.42
192,crisis counselor,10.0,KY,MORTGAGE,2400,36,7.96
193,senior mechanical assembler,3.0,CA,MORTGAGE,17000,36,13.59
194,maintenance director,8.0,AR,OWN,24000,36,12.61
195,,,NJ,MORTGAGE,20000,36,19.03
196,supervisor,10.0,TX,RENT,30000,36,16.01
197,microbiology labratory security,0.0,CA,OWN,3600,36,6.72
198,telecommunications analyst,3.0,TX,MORTGAGE,20000,36,6.07
199,medical secretary ,6.0,NJ,MORTGAGE,8000,36,15.05
200,financial service specialist,1.0,CA,RENT,16000,36,6.07
201,consultant,1.0,NC,MORTGAGE,24000,36,13.58
202,cook / server,5.0,CA,RENT,2000,36,10.42
203,business analyst ,3.0,NY,RENT,2000,36,11.98
204,cook,8.0,CA,RENT,6500,36,9.43
205,setup operator,6.0,SC,RENT,8000,36,16.02
206,,,AL,RENT,7000,36,18.06
207,analyst,2.0,VA,RENT,25000,60,12.61
208,supervisor ,10.0,CA,MORTGAGE,15000,60,14.07
209,research programmer / analyst,2.0,NC,RENT,35000,36,10.42
210,rapid prototyping manager,3.0,CA,RENT,26000,36,10.42
211,warehouse general,10.0,MI,MORTGAGE,12000,60,17.47
212,pharmacy tech ,2.0,CA,RENT,10000,60,10.91
213,aviation inspector,10.0,CA,MORTGAGE,15000,36,5.32
214,realtor / assistant,5.0,NJ,MORTGAGE,14000,60,9.44
215,paralegal ,10.0,GA,MORTGAGE,15000,36,9.44
216,accountant,5.0,NY,RENT,10000,36,14.08
217,cashier,3.0,WA,RENT,5000,36,7.35
218,owner,10.0,GA,RENT,28125,60,12.62
219,contract specialist ,10.0,MD,RENT,10000,36,15.04
220,,,TX,MORTGAGE,10000,60,9.92
221,chief financial officer,2.0,MA,MORTGAGE,40000,60,10.9
222,officer of corporation,6.0,CA,RENT,10000,36,6.72
223,kitchen designer,4.0,ME,OWN,8000,36,5.32
224,regional manager ,2.0,NY,RENT,35000,60,11.99
225,executive chef,2.0,CA,MORTGAGE,20000,36,5.32
226,telecommunications tech ,5.0,FL,OWN,9000,36,10.41
227,finisher,0.0,VT,RENT,20000,60,14.07
228,operations manager,10.0,NJ,RENT,3000,36,6.07
229,grocery clerk,3.0,OR,RENT,8000,36,9.93
230,mechanic,10.0,TX,OWN,10000,36,11.99
231,services coordinator,2.0,ME,RENT,5000,36,6.71
232,,,MA,MORTGAGE,15000,36,5.31
233,renewal specialist,1.0,IL,RENT,10000,60,13.59
234,associate medical director,2.0,CT,OWN,40000,36,10.9
235,,,NE,RENT,3000,36,12.62
236,junior graphic designer,0.0,OH,RENT,1500,36,10.42
237,ceo president,10.0,GA,MORTGAGE,28000,36,15.05
238,graphic designer,7.0,CA,RENT,8000,36,6.71
239,accounting assistant,5.0,FL,RENT,20000,60,21.45
240,group creative director,0.0,NY,MORTGAGE,40000,36,9.44
241,forming operator,4.0,NY,MORTGAGE,11000,36,11.99
242,large format printing lead,3.0,NY,RENT,3300,36,11.99
243,,,CA,MORTGAGE,15000,36,6.07
244,,,UT,OWN,11500,36,5.31
245,technical sales rep,1.0,FL,OWN,16500,36,6.07
246,pretreatment technician,10.0,WA,RENT,15000,60,19.42
247,manager - projects,10.0,NJ,RENT,35000,60,21.85
248,hydrologist,10.0,MN,MORTGAGE,4400,36,14.08
249,lieutenant,10.0,MA,MORTGAGE,19000,60,18.06
250,autocad ,1.0,MI,OWN,3125,36,10.91
251,office manager,10.0,IL,MORTGAGE,20000,60,9.44
252,pharmacy technician ,10.0,IL,OWN,20000,60,12.62
253,dockworker,3.0,PA,OWN,10000,60,9.44
254,sales,7.0,NC,MORTGAGE,35000,36,6.08
255,consulting database specialist,10.0,OH,RENT,14000,36,11.98
256,house officer ,3.0,NY,OWN,16000,36,9.92
257,vp hr,8.0,KY,MORTGAGE,8000,36,13.59
258,teacher,10.0,NM,RENT,7000,36,10.41
259,shade assembler,5.0,IN,MORTGAGE,24000,60,9.93
260,finance,10.0,AZ,MORTGAGE,10000,36,7.97
261,carpenter,10.0,NY,RENT,2500,36,19.42
262,counselor,2.0,MN,MORTGAGE,25000,60,18.45
263,sales manager,0.0,KY,MORTGAGE,5000,36,6.72
264,certified peer specialist,5.0,VA,MORTGAGE,9000,36,10.91
265,,,PA,RENT,5000,36,17.47
266,medical asst,10.0,MA,RENT,10000,36,10.41
267,,,NJ,MORTGAGE,1200,36,6.72
268,production manager,4.0,TX,MORTGAGE,10000,36,9.44
269,cook,4.0,NY,RENT,6000,36,12.61
270,maintenance tech,0.0,FL,RENT,2500,36,7.96
271,cleaner,4.0,NY,OWN,32000,36,10.9
272,pmo manager,10.0,CA,MORTGAGE,28000,60,21.85
273,,,TN,RENT,10000,36,7.96
274,manger/barber,10.0,IL,MORTGAGE,35000,60,9.43
275,,,CO,MORTGAGE,25000,60,15.04
276,teacher,10.0,AL,MORTGAGE,15000,60,14.07
277,auto tech,10.0,WI,MORTGAGE,16000,36,10.9
278,electronic engineer,8.0,NY,MORTGAGE,20000,36,6.08
279,interior concept designer,1.0,GA,RENT,10000,36,9.93
280,machine operator,1.0,MN,RENT,10000,36,12.61
281,dock worker,10.0,PA,MORTGAGE,15000,60,10.42
282,assistant,10.0,MD,MORTGAGE,11100,60,30.17
283,lead driver,10.0,GA,RENT,24000,60,19.42
284,residential coordinator,1.0,NJ,OWN,1950,36,9.43
285,,,CA,MORTGAGE,15000,60,17.47
286,supervisor ,3.0,NJ,RENT,8000,36,7.34
287,assistant registrar-graduation,10.0,SC,RENT,8500,36,7.96
288,assistant to internet director,4.0,TX,MORTGAGE,12000,36,13.58
289,family skill specialist,4.0,CA,OWN,24000,60,9.43
290,head of shopper engagement,3.0,IL,MORTGAGE,12475,60,21.85
291,shipping & receiving,2.0,OH,RENT,11500,60,21.85
292,rn,0.0,CO,RENT,1000,36,22.91
293,manager,10.0,CA,MORTGAGE,15000,36,12.61
294,managment,10.0,AK,MORTGAGE,13250,36,9.93
295,manager,9.0,KY,MORTGAGE,10000,36,6.72
296,director of operations,3.0,GA,RENT,18000,36,19.42
297,branch manager ,10.0,CA,MORTGAGE,2400,36,9.92
298,rural carrier,10.0,MS,MORTGAGE,21700,60,14.07
299,office administrator,10.0,MI,RENT,36525,36,10.42
300,regional director,2.0,SC,MORTGAGE,5000,36,7.35
301,educator,10.0,NM,MORTGAGE,28000,36,6.71
302,fixed assets manager,10.0,OK,MORTGAGE,35000,36,12.62
303,manager,10.0,DE,MORTGAGE,40000,60,21.45
304,,,PA,MORTGAGE,14000,60,16.01
305,rn,10.0,NJ,MORTGAGE,20000,60,16.02
306,hub employee,10.0,CA,RENT,7000,36,10.9
307,technical solutions architecture manager,6.0,NC,MORTGAGE,20000,36,11.99
308,dentist ,10.0,NY,RENT,40000,36,7.34
309,social worker,7.0,CA,RENT,10000,36,12.61
310,service representative,1.0,NY,RENT,8000,36,6.71
311,delivery merchandiser,10.0,SC,RENT,4000,36,9.43
312,physician ,0.0,MA,RENT,30000,36,13.59
313,executive assistant,3.0,CA,RENT,20000,36,6.08
314,attorney,6.0,CT,MORTGAGE,24000,36,7.96
315,dietary aide,10.0,MN,RENT,4000,36,7.35
316,engineer departnent,0.0,CA,RENT,14000,60,10.9
317,nurse practitioner ,9.0,NC,MORTGAGE,24000,36,6.07
318,cashier ,0.0,UT,RENT,2800,36,19.03
319,principal ,10.0,NV,MORTGAGE,32000,60,14.08
320,manager ,8.0,NY,MORTGAGE,12000,36,10.42
321,fbc,1.0,NC,MORTGAGE,9600,36,9.44
322,shipping clerk,10.0,GA,MORTGAGE,9600,36,5.31
323,claims investigator,3.0,CA,RENT,3500,36,7.97
324,executive customer service,10.0,FL,MORTGAGE,8000,36,5.32
325,engineering supervisor,10.0,IL,MORTGAGE,12000,36,10.91
326,administrator,10.0,TX,MORTGAGE,32400,36,10.91
327,,,FL,MORTGAGE,3600,36,19.03
328,legal assistant,10.0,FL,RENT,15000,60,12.61
329,registered nurse,0.0,MO,MORTGAGE,8300,36,13.59
330,deputy sheriff,10.0,MA,MORTGAGE,25600,36,5.32
331,project manager,10.0,CO,RENT,20000,60,13.58
332,lead software architect,2.0,NH,MORTGAGE,27900,60,16.01
333,sales,10.0,PA,MORTGAGE,4000,36,7.35
334,ir technologist ,10.0,VT,MORTGAGE,1000,36,9.92
335,engineer tech,6.0,MI,MORTGAGE,24000,60,9.43
336,owner/operator,10.0,AZ,MORTGAGE,40000,36,7.35
337,manager,6.0,IN,MORTGAGE,22000,36,9.43
338,sales,10.0,WA,RENT,6400,36,9.44
339,carpenter,10.0,MA,RENT,12000,36,17.09
340,sales manger,1.0,CA,MORTGAGE,30000,36,18.06
341,claims examiner ii,1.0,CA,OWN,12000,60,21.85
342,patternmaker / designer,6.0,CA,RENT,20000,36,6.72
343,senior chemist,4.0,NJ,MORTGAGE,24000,36,9.43
344,civil engineering tech,2.0,MN,MORTGAGE,38400,60,10.42
345,operations manager,9.0,GA,MORTGAGE,10000,60,15.04
346,owner operator,4.0,CA,RENT,30000,36,18.06
347,district technology support analyst,10.0,CA,RENT,9000,36,15.04
348,sr rest engineer ,3.0,UT,RENT,28000,36,13.59
349,owner,10.0,VA,MORTGAGE,29000,60,7.35
350,chef,0.0,TX,RENT,5000,36,15.05
351,receptionist,1.0,WA,RENT,26000,60,26.77
352,manager,10.0,TX,MORTGAGE,25000,36,7.35
353,manager,10.0,NJ,OWN,25000,36,11.98
354,office manager,1.0,OR,RENT,14000,36,13.59
355,patient care coordinator,9.0,VA,RENT,6000,36,11.98
356,sergeant,7.0,NY,RENT,12000,36,7.35
357,personal asst ,10.0,IL,MORTGAGE,20000,36,9.92
358,stylist/owner,8.0,NY,RENT,10000,36,14.08
359,registered nurse,7.0,FL,MORTGAGE,10000,60,9.93
360,executive assistant,1.0,CA,RENT,5000,36,17.47
361,territory manager,5.0,AZ,MORTGAGE,10000,36,9.43
362,welder/fabricator,8.0,GA,OWN,10000,36,7.97
363,solutions manager,1.0,MI,OWN,15000,60,9.43
364,health technician,2.0,CA,RENT,17000,36,14.08
365,,,MD,MORTGAGE,19475,36,7.97
366,hr analyst,0.0,FL,RENT,10000,36,14.07
367,editor,10.0,OH,MORTGAGE,8000,36,9.93
368,account manager,1.0,IN,RENT,10000,36,10.42
369,loan analyst,3.0,MI,RENT,16000,60,25.82
370,senior research project manager,10.0,MA,MORTGAGE,14000,60,25.82
371,senior dba,3.0,IL,MORTGAGE,11300,36,7.35
372,paralegal,10.0,TN,MORTGAGE,15000,60,15.05
373,pr representative,1.0,AK,RENT,10000,36,7.96
374,teacher,10.0,AL,OWN,25000,36,13.58
375,,,OH,MORTGAGE,15000,60,16.01
376,truck driver,9.0,IN,MORTGAGE,19200,36,7.34
377,manager ii,10.0,CA,MORTGAGE,14000,36,6.08
378,hr data tech,1.0,CO,RENT,13000,36,12.61
379,department mananger,10.0,AL,MORTGAGE,28000,60,16.02
380,supervisory auditor,10.0,GA,MORTGAGE,26000,60,11.99
381,research specialist,5.0,NE,RENT,7000,36,6.08
382,firefighter,1.0,CT,RENT,25000,60,30.79
383,book keeper,10.0,WA,OWN,20000,36,16.02
384,direct support,2.0,NY,RENT,20000,60,12.61
385,business systems analyst,0.0,FL,MORTGAGE,12000,36,12.61
386,teacher,2.0,NJ,RENT,8650,36,14.08
387,business development associate,5.0,FL,RENT,7500,36,17.09
388,owner,10.0,FL,MORTGAGE,21000,36,7.96
389,owner,9.0,FL,OWN,12000,36,10.42
390,compliance manager,7.0,GA,OWN,10000,36,7.34
391,"inventory specialist, purchasing",10.0,AZ,MORTGAGE,25000,60,9.92
392,,,MI,OWN,8500,36,6.72
393,legal advisor,3.0,VA,RENT,18000,36,10.42
394,disclosure specialists ,0.0,CA,RENT,18000,60,6.71
395,sr program manager,10.0,FL,RENT,9500,36,16.01
396,accountant ,0.0,CO,MORTGAGE,20000,36,14.08
397,marketing,1.0,NY,RENT,10000,36,10.9
398,beauty stylist,4.0,IN,MORTGAGE,30000,36,5.31
399,transportation/ cdl driver,5.0,MA,RENT,28000,60,17.47
400,security officer,10.0,NJ,MORTGAGE,25000,36,9.93
401,warranty administrator,8.0,NY,MORTGAGE,30000,36,9.43
402,financial clerk,6.0,NY,RENT,40000,60,14.08
403,,,MD,RENT,8000,36,7.97
404,safety monitor,2.0,AZ,RENT,12000,36,7.35
405,civil engineer,1.0,MS,RENT,12000,60,15.05
406,roofer,10.0,AL,RENT,8000,36,14.07
407,general manager,8.0,NC,MORTGAGE,10000,36,11.99
408,enterprise account executive,1.0,MN,RENT,6650,36,5.31
409,painter,7.0,TX,MORTGAGE,10000,36,5.32
410,program support clerk,3.0,FL,RENT,5200,36,11.99
411,community development manger,3.0,CA,RENT,15525,60,15.04
412,installer,10.0,CA,MORTGAGE,6000,36,6.72
413,teller,9.0,NY,RENT,5000,36,7.97
414,laborer,2.0,CT,MORTGAGE,3500,36,5.32
415,,,IL,MORTGAGE,15000,36,22.91
416,driver,10.0,CA,RENT,21625,60,10.91
417,hr,5.0,GA,MORTGAGE,11200,36,15.05
418,professor,10.0,CA,MORTGAGE,40000,36,7.35
419,vicepresident,10.0,CA,MORTGAGE,10000,36,11.99
420,,,CA,RENT,36000,36,9.93
421,painter,4.0,NY,RENT,17000,60,20.0
422,office manager,1.0,GA,MORTGAGE,9000,36,13.59
423,systems engineer,10.0,MD,RENT,28000,60,26.77
424,,,NJ,RENT,15000,60,16.01
425,survey designer,5.0,VA,RENT,7000,36,5.31
426,medical biller,10.0,NJ,MORTGAGE,20000,60,21.85
427,teller,0.0,MI,RENT,1000,36,11.99
428,registered professional land surveyor,4.0,TX,MORTGAGE,7000,36,6.08
429,office manager,4.0,CA,RENT,5000,36,19.03
430,registered nurse,8.0,IL,MORTGAGE,30000,36,7.35
431,sheriff deputy,10.0,MN,MORTGAGE,6000,36,7.96
432,instructor,10.0,TN,OWN,20000,36,20.39
433,,,UT,OWN,20000,60,15.05
434,parts specialist,10.0,WA,MORTGAGE,12000,36,7.96
435,humans resources ,4.0,IL,RENT,5000,36,5.32
436,rehabilitation counselor ,3.0,AL,RENT,15000,36,14.08
437,purchasing,10.0,IL,RENT,15000,36,18.45
438,bartender,10.0,FL,OWN,5000,36,6.72
439,teacher ,10.0,NJ,RENT,13000,60,17.09
440,,,LA,OWN,17975,36,10.9
441,insurance verification coordinator ,9.0,MI,RENT,28275,60,13.58
442,qa analyst,10.0,CA,MORTGAGE,11000,60,14.08
443,program coordinator ,10.0,IL,MORTGAGE,25000,60,6.72
444,iss rep,0.0,MI,OWN,3300,36,9.43
445,teacher ,2.0,TX,RENT,30000,60,11.99
446,software development engineer in test,1.0,TX,RENT,7200,36,11.98
447,program manager,10.0,MT,MORTGAGE,30000,60,10.42
448,set designer,5.0,NY,RENT,25000,36,11.98
449,senior teller,4.0,ME,RENT,20000,60,7.96
450,sales,10.0,OR,MORTGAGE,4000,36,9.93
451,superintendent ,8.0,CA,RENT,40000,36,9.43
452,assistant principal,0.0,GA,RENT,40000,36,10.41
453,service expert ,0.0,MD,RENT,13000,36,7.34
454,manager,1.0,PA,RENT,15000,36,14.07
455,user access manager,0.0,CA,RENT,27000,60,10.42
456,technology coordinator,9.0,LA,MORTGAGE,13000,36,7.97
457,truck driver,4.0,CA,MORTGAGE,15000,60,21.45
458,extruder,0.0,MN,RENT,3000,36,21.45
459,sales,3.0,CA,MORTGAGE,21600,60,26.77
460,auto damage appraiser,10.0,AL,MORTGAGE,35000,60,20.39
461,"sr, examiner",10.0,NY,RENT,2500,36,10.42
462,retail sales,10.0,LA,RENT,4000,36,17.47
463,account supporr,6.0,WI,MORTGAGE,10000,60,7.34
464,lead teller,4.0,IL,RENT,6400,36,7.35
465,,,CA,RENT,6900,36,17.09
466,administrator,10.0,TX,MORTGAGE,6000,36,13.59
467,union carpenter,3.0,NV,MORTGAGE,3000,36,6.07
468,professor,10.0,LA,OWN,10000,36,9.93
469,administrative associate,10.0,CT,MORTGAGE,12000,36,9.44
470,medical billing ,10.0,WA,MORTGAGE,16000,36,11.99
471,registrar,1.0,SC,RENT,30000,60,25.82
472,office manager ,1.0,CA,RENT,10800,60,19.03
473,executive director,5.0,CO,RENT,12000,36,10.41
474,deli steward,1.0,OR,RENT,6000,36,12.61
475,software developer,5.0,NC,MORTGAGE,6500,36,6.71
476,rx lab tecg,5.0,FL,RENT,6000,36,10.42
477,,,AZ,RENT,7500,36,18.06
478,ptl,5.0,NY,RENT,10000,36,6.08
479,copywriter,2.0,NJ,RENT,27500,36,7.97
480,maintenance technician,5.0,IL,MORTGAGE,25875,60,24.85
