,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
89,cabinet maker/installer,8.0,FL,RENT,78000.0,Source Verified,9.61,,,,0,58.0,1996,3,21,15,48354,40982,0,1,58.0,0,1358,8,3,4.0,15,0.0,0,5,11900,8,7,6,1,68.4,0,1,credit_card,individual,7000,36,7.96,219.23,A,A5,Mar-2018,Current,whole,DirectPay,6478.16,654.59,521.84,132.75,0.0
115,ceo,4.0,CA,RENT,250000.0,Source Verified,1.12,,,,0,75.0,2000,0,12,9,27800,5459,0,0,,0,0,0,3,19.0,9,0.0,0,5,20200,10,8,6,0,100.0,0,0,debt_consolidation,individual,30000,36,10.9,980.75,B,B4,Mar-2018,Current,whole,Cash,28577.07,1925.17,1422.93,502.24,0.0
125,senior engagement lead,10.0,NJ,OWN,230000.0,Source Verified,9.19,,,,0,38.0,1998,2,20,8,441037,53298,0,0,38.0,0,0,2,6,3.0,8,0.0,0,3,38500,12,4,3,3,72.2,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Feb-2018,Current,whole,Cash,10851.41,1562.17,1148.59,413.58,0.0
130,military officer captain,10.0,GA,RENT,145000.0,Verified,14.66,155000.0,Source Verified,14.98,0,38.0,2003,0,29,11,206996,61746,0,0,47.0,0,0,3,4,23.0,11,0.0,0,4,11000,10,5,4,3,72.4,0,0,debt_consolidation,joint,40000,36,6.72,1229.97,A,A3,Feb-2018,Current,whole,Cash,35942.19,4890.01,4057.81,832.2,0.0
132,home equity specialist ,10.0,PA,RENT,42000.0,Not Verified,9.91,,,,0,35.0,1996,0,21,10,50600,11048,0,0,,0,0,0,2,,10,0.0,0,5,46500,18,10,7,0,95.2,0,0,debt_consolidation,individual,7200,36,7.34,223.44,A,A4,Mar-2018,Current,whole,Cash,6840.1,443.94,359.9,84.04,0.0
159,field operations supervisor,2.0,IL,MORTGAGE,80000.0,Not Verified,9.92,,,,0,45.0,2003,3,29,11,322553,20241,0,0,45.0,0,0,1,9,4.0,11,0.0,0,3,25100,17,9,5,7,92.9,0,0,credit_card,individual,12000,36,6.71,368.94,A,A3,Mar-2018,Current,whole,DirectPay,11089.41,1102.35,910.59,191.76,0.0
164,production,10.0,MN,MORTGAGE,75000.0,Source Verified,0.54,,,,0,32.0,2006,4,17,7,253569,42,0,0,42.0,0,200,0,6,2.0,7,0.0,0,3,35100,8,6,3,1,70.6,0,0,major_purchase,individual,24000,60,10.42,514.91,B,B3,Jan-2018,Current,whole,Cash,22440.6,2539.82,1559.4,980.42,0.0
165,it director,10.0,CA,MORTGAGE,182000.0,Source Verified,16.72,,,,0,25.0,2003,0,14,7,604303,78003,0,0,51.0,0,0,3,1,14.0,7,0.0,0,2,25500,6,3,2,2,84.6,0,0,debt_consolidation,individual,40000,36,7.97,1252.91,A,A5,Feb-2018,Current,whole,Cash,36011.51,4976.22,3988.49,987.73,0.0
166,,,TX,MORTGAGE,65000.0,Not Verified,10.62,,,,0,29.0,1998,1,28,13,168410,25122,0,0,,0,0,0,1,6.0,13,0.0,0,4,59500,21,12,5,3,92.6,0,0,debt_consolidation,individual,25000,60,9.92,530.2,B,B2,Mar-2018,Current,whole,Cash,24350.26,1046.62,649.74,396.88,0.0
182,yard specialist,3.0,NC,MORTGAGE,41200.0,Source Verified,16.95,,,,0,55.0,2006,0,20,9,191066,47940,0,0,55.0,0,0,4,8,14.0,9,0.0,0,2,12000,8,4,2,1,85.0,0,0,other,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,whole,Cash,8488.64,1824.43,1511.36,313.07,0.0
186,dean of humanities and the arts,9.0,NE,RENT,88000.0,Source Verified,13.04,,,,0,58.0,1998,2,41,11,39353,24021,0,0,58.0,0,0,1,4,5.0,11,0.0,0,1,3000,31,10,4,1,100.0,0,0,debt_consolidation,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Fully Paid,whole,Cash,0.0,10220.624445269,10000.0,220.62,0.0
214,realtor / assistant,5.0,NJ,MORTGAGE,80000.0,Not Verified,18.39,125000.0,Not Verified,11.77,0,56.0,1993,3,27,14,531782,81876,0,0,76.0,0,0,4,5,1.0,14,0.0,0,2,18200,16,9,6,3,74.1,0,0,credit_card,joint,14000,60,9.44,293.62,B,B1,Jan-2018,Current,whole,Cash,13068.02,1460.76,931.98,528.78,0.0
217,cashier,3.0,WA,RENT,25000.0,Not Verified,14.31,,,,0,25.0,1998,1,24,14,33000,6979,0,1,,0,0,1,3,7.0,14,0.0,0,4,18200,21,13,6,0,95.7,0,1,debt_consolidation,individual,5000,36,7.35,155.19,A,A4,Jan-2018,Current,whole,Cash,4369.5,771.87,630.5,141.37,0.0
221,chief financial officer,2.0,MA,MORTGAGE,151000.0,Verified,15.81,,,,0,28.0,1987,3,30,17,160259,77372,0,0,28.0,0,0,3,13,7.0,17,0.0,0,4,64400,18,14,6,4,86.7,0,0,home_improvement,individual,40000,60,10.9,867.71,B,B4,Mar-2018,Current,whole,Cash,38473.08,2578.91,1526.92,1051.99,0.0
231,services coordinator,2.0,ME,RENT,44000.0,Verified,12.9,,,,0,79.0,2004,2,18,12,269361,46789,0,1,79.0,0,0,10,4,6.0,11,0.0,0,1,2900,4,1,1,1,94.4,0,1,major_purchase,individual,5000,36,6.71,153.73,A,A3,Mar-2018,Current,whole,Cash,4620.57,459.33,379.43,79.9,0.0
232,,,MA,MORTGAGE,145000.0,Not Verified,16.57,,,,0,33.0,1982,2,35,19,506779,58807,0,0,,0,0,2,2,6.0,19,0.0,0,9,95600,21,15,10,3,91.4,0,0,debt_consolidation,individual,15000,36,5.31,451.66,A,A1,Feb-2018,Current,whole,Cash,13839.02,1350.56,1160.98,189.58,0.0
242,large format printing lead,3.0,NY,RENT,35500.0,Not Verified,16.93,,,,0,82.0,2007,0,14,10,53495,42709,0,0,82.0,0,0,3,5,18.0,10,0.0,0,4,8600,8,7,6,0,92.9,0,0,debt_consolidation,individual,3300,36,11.99,109.6,B,B5,Jan-2018,Current,whole,Cash,2909.13,545.8,390.87,154.93,0.0
258,teacher,10.0,NM,RENT,90000.0,Not Verified,16.31,,,,0,66.0,1991,4,28,12,79813,50734,0,1,66.0,0,0,5,7,7.0,12,0.0,0,4,17200,12,7,6,0,96.3,0,1,debt_consolidation,individual,7000,36,10.41,227.23,B,B3,Feb-2018,Current,whole,Cash,6496.14,677.64,503.86,173.78,0.0
270,maintenance tech,0.0,FL,RENT,35000.0,Not Verified,3.67,,,,0,32.0,2010,4,9,8,27400,2301,0,0,,0,0,0,6,4.0,8,0.0,0,2,16200,8,8,4,0,88.9,0,0,debt_consolidation,individual,2500,36,7.96,78.3,A,A5,Mar-2018,Current,whole,Cash,2376.16,155.49,123.84,31.65,0.0
273,,,TN,RENT,20400.0,Verified,9.82,,,,0,69.0,2006,0,15,6,41800,4561,0,0,69.0,0,0,1,3,17.0,6,0.0,0,2,6500,7,5,4,0,86.7,0,0,debt_consolidation,individual,10000,36,7.96,313.18,A,A5,Mar-2018,Current,fractional,Cash,9504.67,630.79,495.33,135.46,0.0
286,supervisor ,3.0,NJ,RENT,46800.0,Source Verified,16.62,,,,0,62.0,2000,0,24,5,49968,19694,0,0,,0,0,2,3,14.0,5,0.0,0,2,26700,20,3,2,0,95.8,0,0,house,individual,8000,36,7.34,248.27,A,A4,Mar-2018,Current,whole,Cash,7398.32,741.55,601.68,139.87,0.0
294,managment,10.0,AK,MORTGAGE,52000.0,Verified,12.08,,,,0,43.0,2006,5,15,10,346008,21479,0,0,49.0,0,0,1,13,2.0,10,0.0,0,6,47100,10,8,6,3,93.3,0,0,credit_card,individual,13250,36,9.93,427.11,B,B2,Feb-2018,Current,whole,Cash,11964.29,1690.17,1285.71,404.46,0.0
297,branch manager ,10.0,CA,MORTGAGE,95000.0,Source Verified,18.89,,,,0,78.0,2001,9,28,11,447224,43133,0,1,,0,0,2,7,0.0,10,0.0,0,3,47900,19,8,4,3,93.8,0,1,vacation,individual,2400,36,9.92,77.36,B,B2,Mar-2018,Current,whole,Cash,2226.0,226.8,174.0,52.8,0.0
308,dentist ,10.0,NY,RENT,250000.0,Source Verified,5.44,,,,0,30.0,2002,3,25,12,109785,35675,0,0,,0,0,1,4,9.0,12,0.0,0,2,58500,12,9,4,0,100.0,0,0,credit_card,individual,40000,36,7.34,1241.32,A,A4,Mar-2018,Current,whole,Cash,38000.6,2466.33,1999.4,466.93,0.0
311,delivery merchandiser,10.0,SC,RENT,50000.0,Not Verified,2.42,,,,0,53.0,1985,0,12,6,6800,3234,0,0,53.0,0,0,0,4,13.0,6,0.0,0,1,2600,8,6,2,1,91.7,0,0,credit_card,individual,4000,36,9.43,128.01,B,B1,Mar-2018,Current,whole,Cash,3707.99,379.84,292.01,87.83,0.0
313,executive assistant,3.0,CA,RENT,109000.0,Not Verified,17.68,,,,0,41.0,2007,0,17,9,128694,23558,0,0,,0,0,2,2,23.0,9,0.0,0,1,49800,8,5,1,4,94.1,0,0,debt_consolidation,individual,20000,36,6.08,609.17,A,A2,Jan-2018,Current,whole,Cash,14358.08,6078.19,5641.92,436.27,0.0
314,attorney,6.0,CT,MORTGAGE,220000.0,Source Verified,18.01,,,,0,28.0,1984,3,34,17,378528,117424,0,0,41.0,0,0,5,8,1.0,17,0.0,0,1,23600,16,9,2,2,76.5,0,0,home_improvement,individual,24000,36,7.96,751.63,A,A5,Mar-2018,Current,whole,Cash,22210.89,2233.66,1789.11,444.55,0.0
321,fbc,1.0,NC,MORTGAGE,66000.0,Not Verified,1.45,,,,0,75.0,2002,1,13,5,108537,857,0,1,75.0,0,0,0,3,9.0,5,0.0,0,3,2800,10,4,3,2,61.5,0,1,home_improvement,individual,9600,36,9.44,307.25,B,B1,Mar-2018,Current,whole,Cash,8899.33,916.72,700.67,216.05,0.0
323,claims investigator,3.0,CA,RENT,76000.0,Not Verified,11.81,,,,0,78.0,1996,1,13,7,41200,19348,0,0,,0,0,1,4,6.0,7,0.0,0,4,20600,10,6,5,0,92.3,0,0,debt_consolidation,individual,3500,36,7.97,109.63,A,A5,Jan-2018,Current,whole,Cash,3062.3,546.6,437.7,108.9,0.0
334,ir technologist ,10.0,VT,MORTGAGE,71000.0,Verified,18.61,,,,0,31.0,2001,1,23,13,380182,30014,0,0,,0,0,2,1,0.0,13,0.0,0,5,16900,14,10,6,2,95.7,0,0,other,individual,1000,36,9.92,32.23,B,B2,Mar-2018,Current,whole,Cash,927.51,96.14,72.49,23.65,0.0
335,engineer tech,6.0,MI,MORTGAGE,62000.0,Source Verified,16.82,,,,0,35.0,1994,0,21,9,241400,32794,0,0,,0,0,0,1,,9,0.0,0,4,58600,17,8,6,2,95.2,0,0,credit_card,individual,24000,60,9.43,503.23,B,B1,Feb-2018,Current,whole,Cash,23048.67,1497.12,951.33,545.79,0.0
338,sales,10.0,WA,RENT,125000.0,Not Verified,5.65,,,,0,64.0,2004,3,24,16,57344,21474,0,1,64.0,0,84,1,6,6.0,16,0.0,0,6,23600,19,15,11,1,91.3,0,1,debt_consolidation,individual,6400,36,9.44,204.84,B,B1,Feb-2018,Current,whole,Cash,5774.69,829.44,625.31,204.13,0.0
344,civil engineering tech,2.0,MN,MORTGAGE,74200.0,Verified,16.19,,,,0,38.0,2004,0,24,5,286462,30887,0,0,,0,0,1,1,,5,0.0,0,1,26700,8,3,1,4,95.8,0,0,debt_consolidation,individual,38400,60,10.42,823.85,B,B3,Jan-2018,Current,whole,Cash,36412.66,3273.17,1987.34,1285.83,0.0
352,manager,10.0,TX,MORTGAGE,120000.0,Verified,7.81,198000.0,Verified,15.15,0,36.0,1999,0,8,4,249410,42153,0,0,39.0,0,0,1,1,15.0,4,0.0,0,0,3000,3,2,0,3,75.0,0,0,debt_consolidation,joint,25000,36,7.35,775.94,A,A4,Jan-2018,Current,whole,Cash,21847.54,3859.28,3152.46,706.82,0.0
359,registered nurse,7.0,FL,MORTGAGE,78000.0,Source Verified,15.34,,,,0,39.0,1996,1,39,20,331619,64230,0,0,41.0,0,6156,13,1,8.0,20,0.0,0,2,3300,16,6,3,4,71.8,0,0,house,individual,10000,60,9.93,212.13,B,B2,Feb-2018,Current,whole,Cash,9476.02,843.0,523.98,319.02,0.0
363,solutions manager,1.0,MI,OWN,87000.0,Not Verified,19.97,,,,0,67.0,2005,2,21,9,100933,45223,0,0,67.0,0,0,2,4,4.0,9,0.0,0,5,50200,13,7,7,1,71.4,0,0,credit_card,individual,15000,60,9.43,314.52,B,B1,Mar-2018,Current,whole,DirectPay,14405.42,927.84,594.58,333.26,0.0
368,account manager,1.0,IN,RENT,56000.0,Not Verified,11.62,,,,0,28.0,2004,5,29,10,43051,25988,0,0,28.0,0,0,2,6,11.0,10,0.0,0,2,9100,19,8,4,3,69.0,0,0,debt_consolidation,individual,10000,36,10.42,324.65,B,B3,Jan-2018,Current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0
388,owner,10.0,FL,MORTGAGE,196000.0,Not Verified,14.4,,,,0,39.0,2000,4,28,11,364145,68480,0,0,39.0,0,0,3,7,7.0,11,0.0,0,2,7900,19,7,6,3,66.7,0,0,debt_consolidation,individual,21000,36,7.96,657.68,A,A5,Mar-2018,Current,whole,Cash,19434.52,1954.47,1565.48,388.99,0.0
397,marketing,1.0,NY,RENT,90000.0,Not Verified,8.79,,,,0,71.0,2002,2,31,11,60174,43395,0,1,71.0,0,0,2,5,1.0,11,0.0,0,4,16000,18,9,5,2,88.5,0,1,debt_consolidation,individual,10000,36,10.9,326.92,B,B4,Mar-2018,Current,whole,Cash,9285.29,974.7,714.71,259.99,0.0
427,teller,0.0,MI,RENT,19719.0,Not Verified,3.04,,,,0,31.0,2012,1,9,9,18150,15586,0,0,31.0,0,0,5,2,8.0,9,0.0,0,2,4300,4,4,2,0,44.4,0,0,credit_card,individual,1000,36,11.99,33.21,B,B5,Jan-2018,Current,fractional,DirectPay,881.56,163.05,118.44,44.61,0.0
448,set designer,5.0,NY,RENT,150000.0,Source Verified,7.05,,,,0,35.0,2003,0,26,8,76200,70799,0,0,35.0,0,0,2,1,21.0,8,0.0,0,4,14400,7,6,5,0,88.5,0,0,debt_consolidation,individual,25000,36,11.98,830.12,B,B5,Mar-2018,Current,whole,Cash,23240.95,2473.72,1759.05,714.67,0.0
455,user access manager,0.0,CA,RENT,57000.0,Not Verified,14.11,,,,0,53.0,2009,1,4,3,42000,23645,0,0,,0,0,1,2,5.0,3,0.0,0,1,17000,3,2,1,0,75.0,0,0,debt_consolidation,individual,27000,60,10.42,579.27,B,B3,Feb-2018,Current,whole,Cash,25602.65,2395.23,1397.35,997.88,0.0
469,administrative associate,10.0,CT,MORTGAGE,70000.0,Not Verified,11.06,,,,0,34.0,2003,2,31,17,181197,23181,0,1,34.0,0,0,2,3,7.0,17,0.0,0,6,22500,16,13,7,3,96.7,1,0,debt_consolidation,individual,12000,36,9.44,384.06,B,B1,Jan-2018,Current,whole,Cash,10827.62,1529.95,1172.38,357.57,0.0
473,executive director,5.0,CO,RENT,73000.0,Verified,12.13,,,,0,67.0,2004,2,40,7,474518,65723,0,0,80.0,0,0,2,7,4.0,7,0.0,0,4,17500,14,4,4,1,94.9,0,0,credit_card,individual,12000,36,10.41,389.53,B,B3,Feb-2018,Current,whole,Cash,11136.26,1179.0,863.74,315.26,0.0
479,copywriter,2.0,NJ,RENT,114000.0,Source Verified,11.2,,,,0,51.0,2006,0,13,7,57475,40907,0,0,,0,0,1,3,19.0,7,0.0,0,5,20100,8,6,6,0,92.3,0,0,credit_card,individual,27500,36,7.97,861.37,A,A5,Jan-2018,Current,whole,Cash,24757.94,3433.3,2742.06,691.24,0.0
492,painter ,10.0,NC,RENT,69000.0,Not Verified,11.83,,,,0,60.0,2007,0,12,5,47422,29655,0,0,60.0,0,0,1,7,18.0,5,0.0,0,4,19900,6,4,4,0,91.7,0,0,vacation,individual,10000,36,9.44,320.05,B,B1,Mar-2018,Current,fractional,Cash,9270.14,954.91,729.86,225.05,0.0
493,designer,2.0,FL,RENT,69200.0,Source Verified,5.03,,,,0,57.0,2011,0,21,10,17700,5276,0,1,57.0,0,1570,0,4,,10,0.0,0,2,11700,19,10,4,0,90.5,0,1,medical,individual,15000,36,9.43,480.01,B,B1,Mar-2018,Current,fractional,Cash,13905.04,1432.17,1094.96,337.21,0.0
496,owner,6.0,CO,RENT,68000.0,Not Verified,17.25,,,,0,32.0,1996,2,37,13,68550,37396,0,0,32.0,0,0,3,3,11.0,13,0.0,0,3,24000,21,10,5,4,86.5,0,0,debt_consolidation,individual,15000,60,10.42,321.82,B,B3,Feb-2018,Current,whole,Cash,14223.91,1269.91,776.09,493.82,0.0
513,plumber,1.0,NY,RENT,30000.0,Source Verified,3.85,,,,0,31.0,2007,1,9,7,8500,2068,0,0,,0,0,0,3,6.0,7,0.0,0,1,4000,9,7,4,0,88.9,0,0,debt_consolidation,individual,5000,36,10.91,163.49,B,B4,Jan-2018,Current,fractional,Cash,4399.27,811.39,600.73,210.66,0.0
527,marketing,5.0,NJ,RENT,78000.0,Source Verified,12.31,,,,0,45.0,2005,1,29,9,59764,29902,0,1,45.0,0,0,2,4,5.0,9,0.0,0,5,21000,18,7,6,0,90.9,0,1,credit_card,individual,20000,36,9.44,640.1,B,B1,Jan-2018,Current,whole,Cash,17547.89,3190.01,2452.11,737.9,0.0
530,owner,10.0,SC,MORTGAGE,60000.0,Source Verified,0.88,,,,0,50.0,2006,6,6,5,5300,117,0,0,,0,728,0,3,0.0,5,0.0,0,2,3300,5,5,2,0,83.3,0,0,credit_card,individual,10000,36,11.99,332.1,B,B5,Feb-2018,Current,fractional,Cash,9057.25,1321.74,942.75,378.99,0.0
538,satellite network engineer,4.0,LA,OWN,81000.0,Source Verified,18.5,,,,0,62.0,1992,12,62,38,93778,16303,0,0,62.0,0,5529,3,29,0.0,38,0.0,0,8,36900,49,34,17,0,80.6,0,0,home_improvement,individual,12000,36,9.43,384.01,B,B1,Mar-2018,Current,whole,Cash,11124.02,1139.46,875.98,263.48,0.0
565,quantitative modeller,2.0,OR,MORTGAGE,120000.0,Verified,16.53,,,,0,41.0,1981,0,15,11,637272,37181,0,0,,0,0,1,2,23.0,11,0.0,0,5,55600,10,8,6,2,85.7,0,0,home_improvement,individual,35000,36,6.72,1076.23,A,A3,Jan-2018,Current,whole,Cash,31449.39,4291.85,3550.61,741.24,0.0
574,hr director ,5.0,OH,RENT,138000.0,Source Verified,6.84,,,,0,28.0,2000,4,34,14,49041,32424,0,1,28.0,0,0,1,11,2.0,14,0.0,0,4,14500,22,13,6,2,90.6,0,1,moving,individual,3000,36,10.42,97.4,B,B3,Jan-2018,Current,whole,Cash,2637.0,485.26,363.0,122.26,0.0
586,,,AL,RENT,22000.0,Verified,11.24,,,,0,48.0,1996,0,9,7,10300,5781,0,0,,0,0,0,0,,7,0.0,0,3,5100,8,7,5,0,88.9,0,0,debt_consolidation,individual,7000,36,10.9,228.84,B,B4,Mar-2018,Current,whole,Cash,6499.71,682.28,500.29,181.99,0.0
588,supervisory passport specialist ,10.0,GA,RENT,100000.0,Source Verified,18.18,,,,0,26.0,2004,5,29,18,775274,54831,0,0,26.0,0,0,3,10,6.0,18,0.0,0,8,41600,14,13,12,7,89.3,0,0,other,individual,15000,36,9.93,483.52,B,B2,Jan-2018,Current,fractional,Cash,13173.04,2401.05,1826.96,574.09,0.0
606,healthcare coordinator,4.0,FL,MORTGAGE,52000.0,Source Verified,4.57,,,,0,43.0,1993,0,22,9,129317,5750,0,0,,0,0,0,2,,9,0.0,0,3,8200,11,8,4,4,86.4,0,0,medical,individual,28000,60,10.9,607.4,B,B4,Mar-2018,Current,whole,Cash,26931.15,1788.29,1068.85,719.44,0.0
607,"vice president, sales and marketing",10.0,CA,MORTGAGE,190000.0,Not Verified,12.33,,,,0,34.0,1990,1,54,13,1049446,266631,0,0,34.0,0,0,3,6,10.0,13,0.0,0,3,25100,7,4,3,13,97.9,0,0,medical,individual,10000,60,10.9,216.93,B,B4,Feb-2018,Current,whole,Cash,9618.26,644.73,381.74,262.99,0.0
609,"registered nurse,charge",7.0,KY,OWN,99000.0,Not Verified,10.07,,,,0,59.0,2000,0,21,9,51900,33756,0,0,,0,0,0,0,,9,0.0,0,7,50900,15,9,7,2,90.5,0,0,credit_card,individual,40000,36,9.92,1289.19,B,B2,Mar-2018,Current,whole,Cash,37100.59,3823.48,2899.41,924.07,0.0
622,register nurse,2.0,NC,RENT,65000.0,Not Verified,11.12,,,,0,27.0,2002,0,17,6,57074,17920,0,0,,0,0,1,1,,6,0.0,0,2,37000,14,5,2,2,81.3,0,0,credit_card,individual,20000,36,10.42,649.3,B,B3,Feb-2018,Current,whole,Cash,18073.8,2585.62,1926.2,659.42,0.0
629,distribution manager,10.0,KY,MORTGAGE,90000.0,Source Verified,6.07,,,,0,47.0,1998,2,9,6,199035,12843,0,0,,0,554,2,2,0.0,6,0.0,0,1,4000,2,2,1,1,88.9,0,0,debt_consolidation,individual,8500,36,10.42,275.96,B,B3,Jan-2018,Current,whole,Cash,7471.54,1374.88,1028.46,346.42,0.0
637,account executive ,4.0,MN,MORTGAGE,90000.0,Verified,18.42,,,,0,65.0,2001,1,37,18,484700,41941,0,0,65.0,0,0,0,2,9.0,18,0.0,0,7,51100,31,17,11,2,94.4,0,0,credit_card,individual,35000,36,10.41,1136.11,B,B3,Mar-2018,Current,whole,DirectPay,33327.81,2251.98,1672.19,579.79,0.0
647,sales manager,10.0,NJ,OWN,300000.0,Not Verified,9.94,,,,0,25.0,2000,0,15,12,610407,69767,0,0,,0,0,2,8,13.0,12,0.0,0,3,40500,9,8,5,2,86.7,0,0,credit_card,individual,35000,36,9.93,1128.21,B,B2,Jan-2018,Current,fractional,DirectPay,30737.11,5602.43,4262.89,1339.54,0.0
652,senior banker,7.0,NJ,MORTGAGE,120000.0,Verified,7.19,,,,0,48.0,1998,2,17,12,94605,39663,0,0,81.0,0,0,3,4,1.0,12,0.0,0,5,45900,13,9,6,0,92.3,0,0,home_improvement,individual,40000,60,9.93,848.51,B,B2,Mar-2018,Current,whole,Cash,38434.59,2501.4,1565.41,935.99,0.0
656,teacher aide,2.0,NY,RENT,50000.0,Not Verified,7.42,,,,0,66.0,1997,1,29,18,39550,19368,0,0,,0,0,5,2,0.0,18,0.0,0,5,11800,21,13,6,0,82.8,0,0,credit_card,individual,10000,36,7.96,313.18,A,A5,Mar-2018,Current,whole,Cash,9254.54,930.7,745.46,185.24,0.0
